Name,Red,Green,Blue
Baker-Miller pink,255,145,175
Bright yellow (Crayola),255,170,29
Amber,255,191,0
Amber (SAE/ECE),255,126,0
Atomic tangerine,255,153,102
Bisque,255,228,196
Candy apple red,255,8,0
Baby powder,254,254,250
Coquelicot,255,56,0
Blanched almond,255,235,205
Brilliant rose,255,85,163
Bittersweet,254,111,94
Cadmium yellow,255,246,0
Canary yellow,255,239,0
Carnation pink,255,166,201
Canary,255,255,153
Cherry blossom pink,255,183,197
Coral,255,127,80
Chinese yellow,255,178,0
Chrome yellow,255,167,0
Cyber yellow,255,211,0
Deep pink,255,20,147
Aureolin,253,238,0
Banana Mania,250,231,181
Cotton candy,255,188,217
Cream,255,253,208
Cosmic latte,255,248,231
Cornsilk,255,248,220
Dark orange,255,140,0
Deep saffron,255,153,51
Floral white,255,250,240
Fiery rose,255,84,112
French pink,253,108,158
Fuchsia,255,0,255
French fuchsia,253,63,146
Antique white,250,235,215
Blond,250,240,190
Brink pink,251,96,127
Apricot,251,206,177
Corn,251,236,93
Coral pink,248,131,121
Cultured,245,245,245
Cameo pink,239,187,204
Champagne,247,231,206
Flickr Pink,251,0,129
Deep champagne,250,214,165
Congo pink,248,131,121
Champagne pink,241,221,207
Baby pink,244,194,194
Beige,245,245,220
French rose,246,74,138
Cyclamen,245,111,161
Azure (X11/web color),240,255,255
Alice blue,240,248,255
Fashion fuchsia,244,0,161
Almond,239,222,205
Eggshell,240,234,214
Dutch white,239,223,187
Amaranth pink,241,156,187
Buff,240,220,130
Desert sand,237,201,175
Cadmium orange,237,135,45
Arylide yellow,233,214,107
Fire opal,233,92,75
Alabaster,237,234,224
Carrot orange,237,145,33
Flax,238,220,130
Burnt sienna,233,116,81
Cadmium red,227,0,34
Dark salmon,233,150,122
Flame,226,88,34
Bone,227,218,201
Amaranth,229,43,80
Frostbite,233,54,167
Fulvous,228,132,0
Charm pink,230,143,172
Candy pink,228,113,122
Fawn,229,170,112
Citrine,228,208,10
Cinnabar,227,66,52
CG red,224,60,49
Crimson,220,20,60
Earth yellow,225,169,95
