objectId,redDecimal,blueHex,greenFraction,hexCode,ACL,redHex,name,updatedAt,greenDecimal,redFraction,blueDecimal,greenHex,createdAt,blueFraction
k8i7HSjQOr,255,AF,0.57,#FF91AF,null,FF,Baker-Miller pink,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),145,1,175,91,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.69
tQKOLnCLdy,255,1D,0.67,#FFAA1D,null,FF,Bright yellow (Crayola),Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),170,1,29,AA,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.11
pNTkJMF5Bj,255,00,0.75,#FFBF00,null,FF,Amber,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),191,1,0,BF,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0
3tlbqwPRqd,255,00,0.49,#FF7E00,null,FF,Amber (SAE/ECE),Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),126,1,0,7E,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0
7e8uiNAoWI,255,66,0.6,#FF9966,null,FF,Atomic tangerine,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),153,1,102,99,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.4
yDr8oGOAZ6,255,C4,0.89,#FFE4C4,null,FF,Bisque,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),228,1,196,E4,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.77
7P5vGvs7KF,255,00,0.03,#FF0800,null,FF,Candy apple red,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),8,1,0,08,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0
kxgtUbMkFt,254,FA,1,#FEFEFA,null,FE,Baby powder,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),254,1,250,FE,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.98
R6Mq6lwM0Z,255,00,0.22,#FF3800,null,FF,Coquelicot,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),56,1,0,38,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0
Dru6ttcoCB,255,CD,0.92,#FFEBCD,null,FF,Blanched almond,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),235,1,205,EB,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.8
B9p30ZvnBG,255,A3,0.33,#FF55A3,null,FF,Brilliant rose,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),85,1,163,55,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.64
rGeq4VN3JU,254,5E,0.44,#FE6F5E,null,FE,Bittersweet,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),111,1,94,6F,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.37
5XGSsddbXi,255,00,0.96,#FFF600,null,FF,Cadmium yellow,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),246,1,0,F6,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0
jrWYfK6s5d,255,00,0.94,#FFEF00,null,FF,Canary yellow,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),239,1,0,EF,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0
5AGsZlnJSa,255,C9,0.65,#FFA6C9,null,FF,Carnation pink,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),166,1,201,A6,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.79
XQHKm9cfuF,255,99,1,#FFFF99,null,FF,Canary,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),255,1,153,FF,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.6
nkaCm5pFI8,255,C5,0.72,#FFB7C5,null,FF,Cherry blossom pink,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),183,1,197,B7,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.77
tHNhwaSyIP,255,50,0.5,#FF7F50,null,FF,Coral,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),127,1,80,7F,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0.31
oW79T1aSbu,255,00,0.7,#FFB200,null,FF,Chinese yellow,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),178,1,0,B2,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0
Mr3oz7UKG5,255,00,0.65,#FFA700,null,FF,Chrome yellow,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),167,1,0,A7,Fri Dec 13 2019 17:44:19 GMT-0600 (Central Standard Time),0
JsC7fXR27q,255,00,0.83,#FFD300,null,FF,Cyber yellow,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),211,1,0,D3,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0
RVnR8KrNiC,255,93,0.08,#FF1493,null,FF,Deep pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),20,1,147,14,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.58
2Qi2uxlBAg,253,00,0.93,#FDEE00,null,FD,Aureolin,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),238,0.99,0,EE,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0
tsqXZWPFIi,250,B5,0.91,#FAE7B5,null,FA,Banana Mania,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),231,0.98,181,E7,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.71
YYUuv2dNB9,255,D9,0.74,#FFBCD9,null,FF,Cotton candy,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),188,1,217,BC,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.85
JXrn2DKwga,255,D0,0.99,#FFFDD0,null,FF,Cream,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),253,1,208,FD,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.82
9Qhx9COMbN,255,E7,0.97,#FFF8E7,null,FF,Cosmic latte,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),248,1,231,F8,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.91
KhwaDboX2G,255,DC,0.97,#FFF8DC,null,FF,Cornsilk,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),248,1,220,F8,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.86
yRPatAAaC6,255,00,0.55,#FF8C00,null,FF,Dark orange,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),140,1,0,8C,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0
O8y2sqpCs7,255,33,0.6,#FF9933,null,FF,Deep saffron,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),153,1,51,99,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.2
tnpqbszh7H,255,F0,0.98,#FFFAF0,null,FF,Floral white,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),250,1,240,FA,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.94
3ShSxyV4w2,255,70,0.33,#FF5470,null,FF,Fiery rose,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),84,1,112,54,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.44
MXJZhV6BlH,253,9E,0.42,#FD6C9E,null,FD,French pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),108,0.99,158,6C,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.62
xlbZESWj7x,255,FF,0,#FF00FF,null,FF,Fuchsia,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0,1,255,00,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),1
QYzzuFnRiX,253,92,0.25,#FD3F92,null,FD,French fuchsia,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),63,0.99,146,3F,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.57
sq3Ynk0Stz,250,D7,0.92,#FAEBD7,null,FA,Antique white,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),235,0.98,215,EB,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.84
VPpNMNwYbw,250,BE,0.94,#FAF0BE,null,FA,Blond,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),240,0.98,190,F0,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.75
FDEqdE1b7X,251,7F,0.38,#FB607F,null,FB,Brink pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),96,0.98,127,60,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.5
QNv4OhdRgf,251,B1,0.81,#FBCEB1,null,FB,Apricot,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),206,0.98,177,CE,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.69
MTXUHwjgCp,251,5D,0.93,#FBEC5D,null,FB,Corn,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),236,0.98,93,EC,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.36
G4dZJw2aqA,248,79,0.51,#F88379,null,F8,Coral pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),131,0.97,121,83,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.47
ROqsjngp6b,245,F5,0.96,#F5F5F5,null,F5,Cultured,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),245,0.96,245,F5,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.96
pYS8p4sdCY,239,CC,0.73,#EFBBCC,null,EF,Cameo pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),187,0.94,204,BB,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.8
6WBlY3F2yv,247,CE,0.91,#F7E7CE,null,F7,Champagne,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),231,0.97,206,E7,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.81
