Name,Red,Green,Blue,Category
Baker-Miller pink,255,145,175,Pink
Bright yellow (Crayola),255,170,29,Red
Amber,255,191,0,Red
Amber (SAE/ECE),255,126,0,Red
Atomic tangerine,255,153,102,Red
Bisque,255,228,196,Red
Candy apple red,255,8,0,Red
Baby powder,254,254,250,Yellow
Coquelicot,255,56,0,Red
Blanched almond,255,235,205,Red
Brilliant rose,255,85,163,Pink
Bittersweet,254,111,94,Red
Cadmium yellow,255,246,0,Red
Canary yellow,255,239,0,Red
Carnation pink,255,166,201,Pink
Canary,255,255,153,Yellow
Cherry blossom pink,255,183,197,Pink
Coral,255,127,80,Red
Chinese yellow,255,178,0,Red
Chrome yellow,255,167,0,Red
Cyber yellow,255,211,0,Red
Deep pink,255,20,147,Pink
Aureolin,253,238,0,Red
Banana Mania,250,231,181,Red
Cotton candy,255,188,217,Pink
Cream,255,253,208,Red
Cosmic latte,255,248,231,Red
Cornsilk,255,248,220,Red
Dark orange,255,140,0,Red
Deep saffron,255,153,51,Red
Floral white,255,250,240,Red
Fiery rose,255,84,112,Pink
French pink,253,108,158,Pink
Fuchsia,255,0,255,Magenta
French fuchsia,253,63,146,Pink
Antique white,250,235,215,Red
Blond,250,240,190,Red
Brink pink,251,96,127,Pink
Apricot,251,206,177,Red
Corn,251,236,93,Red
Coral pink,248,131,121,Red
Cultured,245,245,245,Lime
Cameo pink,239,187,204,Pink
Champagne,247,231,206,Red
Flickr Pink,251,0,129,Pink
Deep champagne,250,214,165,Red
Congo pink,248,131,121,Red
Champagne pink,241,221,207,Red
Baby pink,244,194,194,Red
Beige,245,245,220,Yellow
French rose,246,74,138,Pink
Cyclamen,245,111,161,Pink
Azure (X11/web color),240,255,255,Cyan
Alice blue,240,248,255,Azure
Fashion fuchsia,244,0,161,Pink
Almond,239,222,205,Red
Eggshell,240,234,214,Red
Dutch white,239,223,187,Red
Amaranth pink,241,156,187,Pink
Buff,240,220,130,Red
Desert sand,237,201,175,Red
Cadmium orange,237,135,45,Red
Arylide yellow,233,214,107,Red
Fire opal,233,92,75,Red
Alabaster,237,234,224,Red
Carrot orange,237,145,33,Red
Flax,238,220,130,Red
Burnt sienna,233,116,81,Red
Cadmium red,227,0,34,Pink
Dark salmon,233,150,122,Red
Flame,226,88,34,Red
Bone,227,218,201,Red
Amaranth,229,43,80,Pink
Frostbite,233,54,167,Pink
Fulvous,228,132,0,Red
Charm pink,230,143,172,Pink
Candy pink,228,113,122,Pink
Fawn,229,170,112,Red
Citrine,228,208,10,Red
Cinnabar,227,66,52,Red
CG red,224,60,49,Red
Crimson,220,20,60,Pink
Earth yellow,225,169,95,Red
China pink,222,111,161,Pink
Blush,222,93,131,Pink
Chartreuse (traditional),223,255,0,Green
Burlywood,222,184,135,Red
Cerise,222,49,99,Pink
Barbie Pink,218,24,132,Pink
Fandango pink,222,82,133,Pink
Deep cerise,218,50,135,Pink
Chocolate (web),210,105,30,Red
Bright lilac,216,145,239,Blue
Dogwood rose,215,24,104,Pink
Carmine (M&P),215,0,64,Pink
Copper (Crayola),218,138,103,Red
Amaranth red,211,33,45,Pink
French mauve,212,115,212,Magenta
Cocoa brown,210,105,30,Red
Arctic lime,208,255,20,Green
Fire engine red,206,32,41,Pink
Cedar Chest,201,90,73,Red
Camel,193,154,107,Red
Burnt orange,204,85,0,Red
French raspberry,199,44,72,Pink
Aero blue,201,255,229,Aquamarine
Bitter lemon,202,224,13,Green
Cinnamon Satin,205,96,126,Pink
Bright maroon,195,33,72,Pink
Desert,193,154,107,Red
Fuchsia purple,204,57,123,Pink
English vermillion,204,71,75,Pink
Antique brass,205,149,117,Red
Bronze,205,127,50,Red
Electric lime,204,255,0,Green
Fuchsia rose,199,67,117,Pink
Brick red,203,65,84,Pink
Alloy orange,196,98,16,Red
Copper red,203,109,81,Red
Cardinal,196,30,58,Pink
Bitter lime,191,255,0,Green
English lavender,180,131,149,Pink
Celeste,178,255,255,Cyan
Dark khaki,189,183,107,Red
Fallow,193,154,107,Red
Fuchsia (Crayola),193,84,193,Magenta
Ecru,194,178,128,Red
Bittersweet shimmer,191,79,81,Pink
Beau blue,188,212,230,Azure
Black Shadows,191,175,178,Pink
Electric purple,191,0,255,Blue
Byzantine,189,51,164,Pink
Columbia Blue,185,217,235,Azure
Dark goldenrod,184,134,11,Red
Copper,184,115,51,Red
Deep chestnut,185,78,72,Red
Carnelian,179,27,27,Red
African violet,178,132,190,Blue
Fandango,181,51,137,Pink
Ash gray,178,190,181,Aquamarine
Copper penny,173,111,105,Red
Auburn,165,42,42,Red
Celadon,172,225,175,Aquamarine
Acid green,176,191,26,Green
Amaranth purple,171,39,79,Pink
Brown sugar,175,110,77,Red
Blue bell,162,162,208,Blue
Firebrick,178,34,34,Red
Chinese red,170,56,30,Red
English red,171,75,82,Pink
Café au lait,166,123,91,Red
Cadet blue (Crayola),169,178,195,Azure
Blizzard blue,172,229,238,Azure
China rose,168,81,110,Pink
